,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,LLM,False Positives,False Negatives,Incorrect Extractions,Correct Matches,Precision,Recall,F1score,Accuracy,Parsed,Hospital,Prompt,Distressed
72,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,gemma327b,13.0,47.0,0.0,1.0,7.142857142857142,2.083333333333333,3.225806451612903,2.083333333333333,True,Kingston,Normal,False
73,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,mistral(24b),,,,,,,,,False,Kingston,Normal,False
74,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,mistral(24b),15.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,True,LHSC,Normal,True
75,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,mistral(24b),7.0,8.0,3.5,36.5,77.6595744680851,82.02247191011236,79.7814207650273,76.04166666666666,True,LHSC,Normal,False
76,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,gemma327b,18.0,36.0,7.0,5.0,16.666666666666664,12.195121951219512,14.08450704225352,10.416666666666668,True,LHSC,Normal,False
77,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,gemma327b,11.0,37.0,8.0,3.0,13.636363636363637,7.5,9.67741935483871,6.25,True,LHSC,Normal,True
78,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,llama3.170b,8.0,11.0,1.0,36.0,80.0,76.59574468085107,78.2608695652174,75.0,True,LHSC,Normal,False
79,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,llama3.170b,7.0,30.0,5.0,13.0,52.0,30.23255813953488,38.23529411764705,27.083333333333332,True,LHSC,Normal,True
80,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,mistral(24b),,,,,,,,,False,MtSinai,Normal,True
81,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,gemma327b,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,True,MtSinai,Normal,True
82,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,gemma327b,7.0,36.0,1.0,11.0,57.89473684210527,23.404255319148938,33.333333333333336,22.916666666666664,True,MtSinai,Normal,False
83,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,llama3.170b,15.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,True,MtSinai,Normal,True
84,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,mistral(24b),11.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,True,MtSinai,Normal,False
85,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,llama3.170b,15.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,True,MtSinai,Normal,False
86,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,gemma327b,10.0,39.0,2.0,7.0,36.84210526315789,15.217391304347828,21.53846153846154,14.583333333333334,True,NYGH,Normal,True
87,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,mistral(24b),8.0,12.0,2.0,34.0,77.27272727272727,73.91304347826086,75.55555555555554,70.83333333333334,True,NYGH,Normal,False
88,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,gemma327b,6.0,16.0,1.0,31.0,81.57894736842105,65.95744680851064,72.94117647058823,64.58333333333334,True,NYGH,Normal,False
89,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,mistral(24b),,,,,,,,,False,NYGH,Normal,True
90,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,llama3.170b,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,True,NYGH,Normal,True
