LLM,False Positives,False Negatives,Incorrect Extractions,Correct Matches,Precision,Recall,F1score,Accuracy,Source,Hospital
gpt-4.1-nano*ImageInput*,2.0,38.0,2.0,26.0,92.85714285714286,40.625,56.52173913043479,40.0,OpenAi,hospital2
llama3.23b,8.0,26.0,2.0,43.0,84.31372549019608,62.31884057971014,71.66666666666667,57.333333333333336,Ollama,hospital1
qwen2.5vl3b,27.0,31.0,13.0,30.0,52.63157894736842,49.18032786885246,50.84745762711864,40.0,Ollama,hospital1
granite3.2*ImageInput*,33.0,35.0,17.0,23.0,41.07142857142857,39.6551724137931,40.35087719298246,30.666666666666664,Ollama,hospital1
qwen31.7b,20.0,32.0,10.0,33.0,62.264150943396224,50.76923076923077,55.932203389830505,44.0,Ollama,hospital1
gemma34b,47.0,28.0,14.0,13.0,21.666666666666668,31.70731707317073,25.742574257425744,17.333333333333336,Ollama,hospital1
llama3.21b,88.0,88.0,88.0,0.0,0.0,0.0,0.0,0.0,Ollama,hospital1
gemma31b-it-qat,16.0,35.0,9.0,32.0,66.66666666666666,47.76119402985074,55.65217391304347,42.66666666666667,Ollama,hospital1
gemma34b,29.0,34.0,19.0,30.0,50.84745762711864,46.875,48.78048780487805,40.0,Ollama,hospital2
granite3.2,17.0,49.0,13.0,22.0,56.41025641025641,30.985915492957744,39.99999999999999,29.333333333333332,Ollama,hospital2
qwen2.5vl3b,13.0,33.0,11.0,39.0,75.0,54.166666666666664,62.903225806451616,52.0,Ollama,hospital2
llama3.23b,21.0,34.0,8.0,28.0,57.14285714285714,45.16129032258064,50.45045045045045,37.333333333333336,Ollama,hospital2
gemma31b-it-qat,10.0,29.0,5.0,41.0,80.3921568627451,58.57142857142858,67.76859504132231,54.666666666666664,Ollama,hospital2
qwen31.7b,19.0,35.0,17.0,38.0,66.66666666666666,52.054794520547944,58.46153846153846,50.66666666666667,Ollama,hospital2
qwen2.5vl3b*ImageInput*,17.0,31.0,7.0,34.0,66.66666666666666,52.307692307692314,58.62068965517241,45.33333333333333,Ollama,hospital1
granite3.2,88.0,88.0,88.0,0.0,0.0,0.0,0.0,0.0,Ollama,hospital1
gemma34b*ImageInput*,15.0,30.0,8.0,38.0,71.69811320754717,55.88235294117647,62.809917355371894,50.66666666666667,Ollama,hospital1
gemma34b*ImageInput*,17.0,37.0,17.0,38.0,69.0909090909091,50.66666666666667,58.46153846153847,50.66666666666667,Ollama,hospital2
granite3.2,1.0,44.0,0.0,29.0,96.66666666666669,39.726027397260275,56.310679611650485,38.666666666666664,Ollama,hospital2
